ID	scientificName	authorship	rank	genus	specificEpithet	infraspecificEpithet	publishedInID	publishedInPage	code	status	link	remarks
1	Plantae		kingdom									
2	Tracheophyta		phylum									
3	Magnoliopsida		class									
4	Oxalidales		order									
5	Oxalidaceae		family						ICNafp			
6	Oxalis		genus	Oxalis					ICNafp			
7	Oxalis griffithii Edgew. & Hook. Fil.	Edgew. & Hook. Fil.	species	Oxalis	griffithii				ICNafp			
8	Oxalis obtriangulata Maxim.	Maxim.	species	Oxalis	obtriangulata				ICNafp			
10	Acetosella		genus	Acetosella					ICNafp			
11	Acetosella obtriangulata (Maxim.) Kuntze	(Maxim.) Kuntze	species	Acetosella	obtriangulata				ICNafp			Test for duplicate SYN-SYN (diff parent, same authors)
12	Acetosella obtriangulata (Maxim.) Kuntze	(Maxim.) Kuntze	species	Acetosella	obtriangulata				ICNafp			Test for duplicate SYN-SYN (diff parent, same authors)

