ID	scientificName	authorship	rank	genus	specificEpithet	infraspecificEpithet	publishedInID	publishedInPage	code	status	link	remarks
B8-1	Plantae		kingdom									
B8-2	Tracheophyta		phylum									
B8-3	Magnoliopsida		class									
B8-4	Rosales		order									
B8-5	Ulmaceae		family						ICNafp			
B8-6	Zelkova		genus	Zelkova					ICNafp			
B8-7	Zelkova abelicea (Lam.) Boiss.	(Lam.) Boiss.	species	Zelkova	abelicea				ICNafp			
B8-10	Abelicea		genus	Abelicea					ICNafp			
B8-11	Abelicea cretica (Sibth. & Sm.) Kuntze	(Sibth. & Sm.) Kuntze	species	Abelicea	cretica				ICNafp			Test for duplicate SYN-SYN (same parent, diff authors)
B8-12	Abelicea cretica (Sibth. & Sm.) Rafin.	(Sibth. & Sm.) Rafin.	species	Abelicea	cretica				ICNafp			Test for duplicate SYN-SYN (same parent, diff authors)
B8-21	Zabelia		genus	Zabelia					botanical			
B8-22	Zabelia parvifolia (C. B. Cl.) Golubkova	(C. B. Cl.) Golubkova	species	Zabelia	parvifolia				botanical			
B8-23	Abelia triflora var. parvifolia (C. B. Cl.) Kitam.	(C. B. Cl.) Kitam.	variety	Abelia	triflora	parvifolia			botanical			Test for duplicate infraspecies SYN-SYN (same parent, diff authors)
B8-24	Abelia triflora var. parvifolia Clarke	Clarke	variety	Abelia	triflora	parvifolia			botanical			Test for duplicate infraspecies SYN-SYN (same parent, diff authors)
