ID	scientificName	authorship	rank	genus	specificEpithet	infraspecificEpithet	publishedInID	publishedInPage	code	status	link	remarks
B2-1	Animalia		kingdom						ICZN			
B2-2	Arthropoda		phylum						ICZN			
B2-3	Insecta		class						ICZN			
B2-4	Thysanoptera		order						ICZN			
B2-5	Phlaeothripidae		family						ICZN			
B2-6	Liothrips	Uzel, 1895	genus						ICZN			
B2-7	Zopyrothrips	Priesner, 1968	subgenus						ICZN			
B2-8	Liothrips vitivorus	Priesner, 1935	species	Liothrips	vitivorus				ICZN		https://github.com/Sp2000/colplus-backend/issues/195	Duplicate accepted name with same author
B2-9	Liothrips vitivorus	Priesner, 1935	species	Liothrips	vitivorus				ICZN		https://github.com/Sp2000/colplus-backend/issues/195	Duplicate accepted name with same author
B2-11	Animalia		kingdom						ICZN			
B2-12	Chordata		phylum						ICZN			
B2-13	Reptilia		class						ICZN			
B2-14	Squamata		order						ICZN			
B2-15	Typhlopidae		family						ICZN			
B2-16	Afrotyphlops		genus	Afrotyphlops					ICZN			
B2-17	Afrotyphlops schlegelii	(Bianconi, 1847) 	species	Afrotyphlops	schlegelii				ICZN			
B2-18	Afrotyphlops schlegelii schlegelii (Peters, 1860)	(Peters, 1860)	subspecies	Afrotyphlops	schlegelii	schlegelii			ICZN		https://github.com/Sp2000/colplus-backend/issues/195	Test for duplicated accepted infraspecies with the same author string
B2-19	Afrotyphlops schlegelii schlegelii (Peters, 1860)	(Peters, 1860)	subspecies	Afrotyphlops	schlegelii	schlegelii			ICZN		https://github.com/Sp2000/colplus-backend/issues/195	Test for duplicated accepted infraspecies with the same author string
