ID	parentID	nameID	provisional	accordingTo	accordingToID	accordingToDate	referenceID	fossil	recent	lifezone	link	remarks
B4-1	B4-1	B4-1										
B4-2	B4-1	B4-2										
B4-3	B4-2	B4-3										
B4-4	B4-3	B4-4										
B4-5	B4-4	B4-5										
B4-6	B4-5	B4-6										
B4-7	B4-6	B4-7	1	GSD141		2019-01-10		0	1			Test for duplicate ACC-SYN (different parent, same authors)
B4-21	B4-20	B4-21										
B4-22	B4-21	B4-22										
B4-23	B4-22	B4-23										
B4-24	B4-23	B4-24										
B4-25	B4-24	B4-25										
B4-26	B4-25	B4-26										
B4-27	B4-26	B4-27		GSD141		43475		0	1			Test for duplicate ACC-SYN infraspecies (diff parent, same authors)
B4-28	B4-27	B4-28		GSD141		43475		0	1			Test for duplicate ACC-SYN infraspecies (diff parent, same authors)
