ID	parentID	nameID	provisional	accordingTo	accordingToID	accordingToDate	referenceID	fossil	recent	lifezone	link	remarks
B3-1	B3-1	B3-1										
B3-2	B3-1	B3-2										
B3-3	B3-2	B3-3										
B3-4	B3-3	B3-4										
B3-5	B3-4	B3-5										
B3-6	B3-5	B3-6										
B3-7	B3-6	B3-7	1	GSD141		2019-01-10		0	1			Test for duplicate ACC-SYN (different parent, different authors)
B3-21	B3-20	B3-21										
B3-22	B3-21	B3-22										
B3-23	B3-22	B3-23										
B3-24	B3-23	B3-24										
B3-25	B3-24	B3-25										
B3-26	B3-25	B3-26										
B3-27	B3-26	B3-27		GSD200		2019-01-10		0	1			
B3-28	B3-27	B3-28		GSD200		2019-01-10		0	1			
B3-29	B3-28	B3-29		GSD200		2019-01-10		0	1			Test for duplicate ACC-SYN infraspecies (diff parent, diff authors)
