ID	scientificName	authorship	rank	genus	specificEpithet	infraspecificEpithet	publishedInID	publishedInPage	code	status	link	remarks
1	Animalia		kingdom									
2	Chordata		phylum									
3	Reptilia		class									
4	Squamata		order									
5	Typhlopidae		family						ICZN			
6	Afrotyphlops		genus	Afrotyphlops					ICZN			
7	Afrotyphlops schlegelii	(Bianconi, 1847) 	species	Afrotyphlops	schlegelii				ICZN			
8	Afrotyphlops schlegelii schlegelii (Peters, 1860)	(Peters, 1860)	subspecies	Afrotyphlops	schlegelii	schlegelii			ICZN		https://github.com/Sp2000/colplus-backend/issues/195	Test for duplicated accepted infraspecies with the same author string
9	Afrotyphlops schlegelii schlegelii (Peters, 1860)	(Peters, 1860)	subspecies	Afrotyphlops	schlegelii	schlegelii			ICZN		https://github.com/Sp2000/colplus-backend/issues/195	Test for duplicated accepted infraspecies with the same author string

