ID	scientificName	authorship	rank	genus	specificEpithet	infraspecificEpithet	publishedInID	publishedInPage	code	status	link	remarks
B1-23-.01-.03-.01-.001-.000-.540-.-	Anomala crassa	(Benderitter 1923)	species	Anomala	crassa		BEND-028		ICZN		https://github.com/Sp2000/colplus-backend/issues/195	Test for duplicated accepted species with diff author string
B1-23-.01-.03-.01-.001-.000-.368-.-	Anomala crassa	Lansberge 1879	species	Anomala	crassa		LANS-014		ICZN		https://github.com/Sp2000/colplus-backend/issues/195	Test for duplicated accepted species with diff author string
B1-1	Animalia		kingdom						ICZN			
B1-2	Arthropoda		phylum						ICZN			
B1-3	Insecta		class						ICZN			
B1-4	Coleoptera		order						ICZN			
B1-5	Scarabaeoidea		superfamily						ICZN			
B1-6	Aegialiidae		family						ICZN			
B1-11	Plantae		kingdom									
B1-12	Tracheophyta		phylum									
B1-13	Magnoliopsida		class									
B1-14	Lamiales		order									
B1-15	Acanthaceae		family						ICNafp			
B1-16	Dicliptera		genus	Dicliptera					ICNafp			
B1-17	Dicliptera obtusifolia	(Bremek.)	species	Dicliptera	obtusifolia				ICNafp			
B1-18	Dicliptera obtusifolia var. ciliifera Urb.	Urb.	subspecies	Dicliptera	obtusifolia	ciliifera			ICNafp		https://github.com/Sp2000/colplus-backend/issues/195	Test for duplicated accepted infraspecies with diff author string
B1-19	Dicliptera obtusifolia var. ciliifera Urb.	Urb.	subspecies	Dicliptera	obtusifolia	ciliifera			ICNafp		https://github.com/Sp2000/colplus-backend/issues/195	Test for duplicated accepted infraspecies with diff author string
