ID	parentID	nameID	provisional	accordingTo	accordingToID	accordingToDate	referenceID	fossil	recent	lifezone	link	remarks
B1-1	B1-1	B1-1	FALSE	GSD27		2018-10-28						
B1-2	B1-1	B1-2	FALSE	GSD27		2018-10-28						
B1-3	B1-2	B1-3	FALSE	GSD27		2018-10-28						
B1-4	B1-3	B1-4	FALSE	GSD27		2018-10-28						
B1-5	B1-4	B1-5	FALSE	GSD27		2018-10-28						
B1-6	B1-5	B1-6	FALSE	GSD27		2018-10-28						
B1-23-.01-.03-.01-.001-.000-.540-.-	B1-6	B1-23-.01-.03-.01-.001-.000-.540-.-	FALSE	GSD27		2018-10-28		0	1			Test for duplicated accepted species with diff author string
B1-23-.01-.03-.01-.001-.000-.368-.-	B1-6	B1-23-.01-.03-.01-.001-.000-.368-.-	FALSE	GSD27		2018-10-28		0	1			Test for duplicated accepted species with diff author string
B1-11	B1-11	B1-11										
B1-12	B1-11	B1-12										
B1-13	B1-12	B1-13										
B1-14	B1-13	B1-14										
B1-15	B1-14	B1-15										
B1-16	B1-15	B1-16										
B1-17	B1-16	B1-17	1	GSD141		2019-01-10		0	1			
B1-18	B1-17	B1-18	0	GSD141		2019-01-10		0	1			Test for duplicated accepted infraspecies with diff author string
B1-19	B1-17	B1-19	0	GSD141		2019-01-10		0	1			Test for duplicated accepted infraspecies with diff author string
