ID	scientificName	authorship	rank	genus	specificEpithet	infraspecificEpithet	publishedInID	publishedInPage	code	status	link	remarks
1	Plantae		kingdom									
2	Tracheophyta		phylum									
3	Magnoliopsida		class									
4	Lamiales		order									
5	Acanthaceae		family						ICNafp			
6	Dicliptera		genus	Dicliptera					ICNafp			
7	Dicliptera obtusifolia	(Bremek.)	species	Dicliptera	obtusifolia				ICNafp			
8	Dicliptera obtusifolia var. ciliifera Urb.	Urb.	subspecies	Dicliptera	obtusifolia	ciliifera			ICNafp		https://github.com/Sp2000/colplus-backend/issues/195	Test for duplicated accepted infraspecies with diff author string
9	Dicliptera obtusifolia var. ciliifera Urb.	Urb.	subspecies	Dicliptera	obtusifolia	ciliifera			ICNafp		https://github.com/Sp2000/colplus-backend/issues/195	Test for duplicated accepted infraspecies with diff author string

