ID	scientificName	authorship	rank	genus	specificEpithet	infraspecificEpithet	publishedInID	publishedInPage	code	status	link	remarks
1	Plantae		kingdom									
2	Tracheophyta		phylum									
3	Magnoliopsida		class									
4	Solanales		order									
5	Solanaceae		family						ICNafp			
6	Solanum		genus	Solanum					ICNafp			
7	Solanum bahamense L.	L.	species	Solanum	bahamense				ICNafp			
8	Solanum bahamense var. luxurians D'Arcy	D'Arcy	variety	Solanum	bahamense	luxurians			ICNafp			Test for duplicate ACC-SYN infraspecies (diff parent, same authors)
9	Solanum bahamense var. luxurians D'Arcy	D'Arcy	variety	Solanum	bahamense	luxurians			ICNafp			Test for duplicate ACC-SYN infraspecies (diff parent, same authors)

