ID	scientificName	authorship	rank	genus	specificEpithet	infraspecificEpithet	publishedInID	publishedInPage	code	status	link	remarks
B9-1	Plantae		kingdom									
B9-2	Tracheophyta		phylum									
B9-3	Magnoliopsida		class									
B9-4	Asterales		order									
B9-5	Asteraceae		family						ICNafp			
B9-6	Cheirolophus		genus	Cheirolophus					ICNafp			
B9-7	Cheirolophus crassifolius (Bertol.) A. Susanna	(Bertol.) A. Susanna	species	Cheirolophus	crassifolius				ICNafp			
B9-10	Palaeocyanus		genus	Palaeocyanus					ICNafp			
B9-11	Palaeocyanus crassifolius (Bertol.) Dostal	(Bertol.) Dostal	species	Palaeocyanus	crassifolius				ICNafp			Test for duplicate SYN-SYN (same parent, same authors)
B9-12	Palaeocyanus crassifolius (Bertol.) Dostal	(Bertol.) Dostal	species	Palaeocyanus	crassifolius				ICNafp			Test for duplicate SYN-SYN (same parent, same authors)
B9-21	Aconitum		genus	Aconitum					botanical			
B9-22	Aconitum lycoctonum subsp. neapolitanum (Ten.) Nyman	(Ten.) Nyman	subspecies	Aconitum	parvifolia				botanical			
B9-23	Aconitum pyrenaicum subsp. lamarckii (Rchb.) O. Bolös & Vigo	(Rchb.) O. Bolös & Vigo	subspecies	Aconitum	pyrenaicum	lamarckii			botanical			Test for duplicate infraspecies SYN-SYN (same parent, same authors)
B9-24	Aconitum pyrenaicum subsp. lamarckii (Rchb.) O. Bolös & Vigo	(Rchb.) O. Bolös & Vigo	subspecies	Aconitum	pyrenaicum	lamarckii			botanical			Test for duplicate infraspecies SYN-SYN (same parent, same authors)
